STCOFIPS,COUNTY,COUNTYTYPE,STATE,STATEFIPS,COUNTYFIPS,RISK_SCORE,RISK_RATNG,EAL_SCORE,EAL_RATNG,EAL_VALT,HRCN_EALS,HRCN_RISKS,HRCN_RISKR,CFLD_EALS,CFLD_RISKS,CFLD_RISKR,IFLD_EALS,IFLD_RISKS,IFLD_RISKR,TRND_EALS,TRND_RISKS,TRND_RISKR,WFIR_EALS,WFIR_RISKS,WFIR_RISKR,SWND_EALS,SWND_RISKS,SWND_RISKR,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG
12001,Alachua,County,Florida,12,001,90.33078880407125,Relatively Moderate,89.78960396039604,Relatively Moderate,89623349.83053169,96.53923541247484,96.70421360033376,Relatively High,0,0,No Rating,89.10891089108911,88.58142493638677,Relatively Moderate,90.97674418604652,90.33078880407125,Relatively High,95.51526717557252,95.16539440203562,Relatively Moderate,82.97674418604652,80.91603053435115,Relatively Moderate,34.76463104,Relatively Low,80.9796437659033,Very High
12003,Baker,County,Florida,12,003,13.263358778625955,Very Low,18.75,Very Low,6286133.679781325,73.8430583501006,74.46808510638297,Relatively Low,0,0,No Rating,29.950495049504948,22.74173027989822,Very Low,37.2093023255814,31.48854961832061,Relatively Low,78.56234096692111,76.20865139949109,Relatively Low,11.844961240310077,7.951653944020356,Very Low,24.42748092,Relatively Low,71.78753180661577,Relatively High
12005,Bay,County,Florida,12,005,94.11577608142494,Relatively Moderate,94.39975247524752,Relatively Moderate,157915659.27662724,98.91348088531187,98.66499791405924,Very High,80.78231292517006,77.2,Relatively Moderate,77.69183168316832,74.68193384223919,Relatively Moderate,94.3875968992248,94.08396946564885,Relatively High,77.35368956743002,75.69974554707379,Relatively Low,72.37209302325581,67.1119592875318,Relatively Moderate,30.8524173,Relatively Low,29.452926208651398,Relatively Low
12007,Bradford,County,Florida,12,007,36.86386768447837,Very Low,38.056930693069305,Very Low,10772907.09135513,85.55331991951711,87.56779307467669,Relatively Moderate,0,0,No Rating,32.209158415841586,30.56615776081425,Very Low,43.16279069767442,41.348600508905854,Relatively Low,80.85241730279898,80.78880407124683,Relatively Low,19.968992248062015,17.36641221374046,Relatively Low,48.31424936,Relatively Moderate,37.913486005089055,Relatively Low
12009,Brevard,County,Florida,12,009,98.40966921119593,Relatively High,98.57673267326733,Relatively High,389320976.9607134,99.83903420523139,99.70796829370046,Very High,84.6938775510204,82,Relatively Moderate,94.83292079207921,95.00636132315522,Relatively High,95.03875968992249,95.29262086513995,Relatively High,97.20101781170484,97.16921119592875,Relatively Moderate,95.53488372093022,96.02417302798982,Relatively High,40.83969466,Relatively Moderate,63.358778625954194,Relatively High
12011,Broward,County,Florida,12,011,99.45928753180662,Relatively High,99.35024752475248,Relatively High,647973333.4330842,99.75855130784709,99.8331247392574,Very High,97.27891156462584,97,Very High,99.38118811881188,99.42748091603053,Very High,95.62790697674419,96.27862595419847,Relatively High,96.85114503816794,97.01017811704835,Relatively Moderate,77.70542635658914,80.24809160305344,Relatively Moderate,55.37531807,Relatively Moderate,44.179389312977094,Relatively Moderate
12013,Calhoun,County,Florida,12,013,44.94274809160305,Relatively Low,37.37623762376238,Very Low,10624504.283162393,85.67404426559357,89.11138923654568,Relatively Moderate,23.46938775510204,21.2,Very Low,27.568069306930692,32.156488549618324,Very Low,51.44186046511627,56.61577608142494,Relatively Low,56.329516539440206,59.637404580152676,Very Low,54.23255813953488,59.510178117048355,Relatively Moderate,73.12340967,Relatively High,13.899491094147582,Very Low
12015,Charlotte,County,Florida,12,015,95.19720101781171,Relatively High,93.1930693069307,Relatively Moderate,131299370.27545387,98.71227364185111,98.99874843554443,Very High,89.45578231292517,90.4,Relatively High,80.50742574257426,85.33715012722645,Relatively Moderate,57.457364341085274,62.56361323155216,Relatively Low,91.34860050890585,92.52544529262087,Relatively Moderate,66.97674418604652,74.58651399491094,Relatively Moderate,77.00381679,Relatively High,12.150127226463106,Very Low
12017,Citrus,County,Florida,12,017,94.6882951653944,Relatively High,91.61509900990099,Relatively Moderate,112090078.72731265,98.14889336016095,98.7901543596162,Very High,90.98639455782312,92.60000000000001,Relatively High,75.99009900990099,83.17430025445293,Relatively Moderate,84.06201550387597,89.02671755725191,Relatively Moderate,88.35877862595419,90.45801526717557,Relatively Moderate,60.96124031007753,70.32442748091603,Relatively Moderate,82.28371501,Very High,6.838422391857506,Very Low
12019,Clay,County,Florida,12,019,81.07506361323156,Relatively Moderate,85.67450495049505,Relatively Moderate,57125297.257668495,89.53722334004024,89.77889027951606,Relatively Moderate,64.79591836734694,56.99999999999999,Relatively Low,89.17079207920791,85.90966921119593,Relatively Moderate,88.12403100775194,83.17430025445293,Relatively Moderate,86.1323155216285,82.85623409669212,Relatively Low,44.68217054263566,32.156488549618324,Relatively Low,12.94529262,Very Low,51.11323155216285,Relatively Moderate
12021,Collier,County,Florida,12,021,98.91857506361323,Relatively High,98.60767326732673,Relatively High,398236266.9508069,99.63782696177063,99.7496871088861,Very High,95.06802721088435,95.19999999999999,Very High,97.30816831683168,98.25063613231552,Relatively High,72.27906976744187,76.43129770992367,Relatively Moderate,95.83333333333334,96.43765903307889,Relatively Moderate,47.10077519379845,51.653944020356235,Relatively Low,74.71374046,Relatively High,41.28498727735369,Relatively Moderate
12023,Columbia,County,Florida,12,023,69.72010178117048,Relatively Low,63.335396039603964,Relatively Low,21927354.01931818,87.40442655935614,90.44639132248645,Relatively Moderate,0,0,No Rating,64.38737623762376,68.19338422391857,Relatively Low,63.813953488372086,66.79389312977099,Relatively Moderate,86.83206106870229,88.13613231552164,Relatively Low,45.89147286821705,49.68193384223918,Relatively Low,71.40585242,Relatively High,29.262086513994912,Relatively Low
12027,DeSoto,County,Florida,12,027,81.64758269720102,Relatively Moderate,68.99752475247524,Relatively Low,26272412.117488828,93.7625754527163,96.24530663329162,Relatively High,32.99319727891156,33.4,Very Low,38.025990099009896,50.540712468193384,Relatively Low,47.348837209302324,59.35114503816794,Relatively Low,80.34351145038168,84.54198473282443,Relatively Low,60.899224806201545,76.04961832061069,Relatively Moderate,90.83969466,Very High,1.3994910941475827,Very Low
12029,Dixie,County,Florida,12,029,35.49618320610687,Very Low,32.58044554455445,Very Low,9427293.812609853,84.42655935613682,87.10888610763455,Relatively Moderate,75.85034013605441,73.6,Relatively Moderate,27.939356435643564,28.816793893129773,Very Low,26.91472868217054,26.176844783715016,Relatively Low,71.85114503816794,72.93256997455471,Relatively Low,10.108527131782946,8.460559796437659,Very Low,57.09287532,Relatively Moderate,2.989821882951654,Very Low
12031,Duval,County,Florida,12,031,97.20101781170484,Relatively High,96.99876237623762,Relatively High,263916601.0203762,97.78672032193158,97.66374634960367,Relatively High,92.3469387755102,91,Relatively High,97.61757425742574,97.55089058524173,Relatively High,91.50387596899225,91.53944020356234,Relatively High,90.61704834605598,89.91730279898219,Relatively Moderate,82.91472868217055,81.8384223918575,Relatively Moderate,39.88549618,Relatively Low,62.086513994910945,Relatively High
12033,Escambia,County,Florida,12,033,95.10178117048346,Relatively High,95.01856435643565,Relatively Moderate,173708769.51288274,98.95372233400403,98.83187317480183,Very High,80.10204081632652,76.8,Relatively Moderate,88.39727722772277,88.67684478371501,Relatively Moderate,72.96124031007753,71.18320610687023,Relatively Moderate,83.65139949109415,82.63358778625954,Relatively Low,49.42635658914728,46.087786259541986,Relatively Low,41.47582697,Relatively Moderate,34.66921119592875,Relatively Low
12035,Flagler,County,Florida,12,035,82.76081424936386,Relatively Moderate,80.56930693069307,Relatively Low,41647547.15562011,94.24547283702213,94.95202336253651,Relatively High,71.08843537414967,67.60000000000001,Relatively Moderate,76.70173267326733,79.19847328244275,Relatively Moderate,79.62790697674419,80.94783715012723,Relatively Moderate,87.59541984732824,88.16793893129771,Relatively Low,41.14728682170543,41.38040712468193,Relatively Low,60.8778626,Relatively High,40.33078880407125,Relatively Moderate
12037,Franklin,County,Florida,12,037,46.533078880407125,Relatively Low,39.44925742574257,Very Low,11157714.214744702,87.36418511066398,90.4881101376721,Relatively Moderate,77.55102040816327,77.4,Relatively Moderate,16.707920792079207,18.702290076335878,Very Low,31.131782945736436,32.474554707379134,Relatively Low,75.47709923664122,77.63994910941476,Relatively Low,9.054263565891473,7.665394402035624,Very Low,75.03180662,Relatively High,46.94656488549619,Relatively Moderate
12039,Gadsden,County,Florida,12,039,72.39185750636132,Relatively Low,59.15841584158416,Relatively Low,19335539.5072696,87.08249496981891,91.44764288694202,Relatively Moderate,,,Not Applicable,47.15346534653465,57.665394402035616,Relatively Low,76.77519379844962,83.81043256997455,Relatively Moderate,75.60432569974554,79.6119592875318,Relatively Low,26.046511627906977,32.91984732824427,Relatively Low,95.03816794,Very High,33.81043256997455,Relatively Low
12041,Gilchrist,County,Florida,12,041,27.958015267175572,Very Low,21.16336633663366,Very Low,6826941.845466123,80.08048289738431,84.27200667501043,Relatively Moderate,27.89115646258503,25.8,Very Low,26.825495049504948,31.393129770992367,Very Low,29.48837209302326,31.01145038167939,Relatively Low,75.03180661577609,77.2264631043257,Relatively Low,15.31782945736434,15.171755725190838,Very Low,73.47328244,Relatively High,10.782442748091603,Very Low
12043,Glades,County,Florida,12,043,48.02798982188295,Relatively Low,30.136138613861384,Very Low,8835438.676876795,81.60965794768612,87.60951188986232,Relatively Moderate,0,0,No Rating,31.71410891089109,44.56106870229007,Relatively Low,17.984496124031008,20.896946564885496,Very Low,84.16030534351145,87.65903307888041,Relatively Low,55.007751937984494,69.529262086514,Relatively Moderate,89.7264631,Very High,0.9223918575063612,Very Low
12045,Gulf,County,Florida,12,045,59.541984732824424,Relatively Low,55.600247524752476,Relatively Low,17330659.376153547,91.62977867203219,93.4084272006675,Relatively High,65.64625850340136,61.6,Relatively Moderate,23.886138613861384,25.159033078880405,Very Low,37.95348837209303,38.13613231552163,Relatively Low,73.18702290076335,74.20483460559797,Relatively Low,12.434108527131784,11.38676844783715,Very Low,65.68066158,Relatively High,58.492366412213734,Relatively Moderate
12047,Hamilton,County,Florida,12,047,43.00254452926209,Relatively Low,29.084158415841582,Very Low,8575735.737288652,85.23138832997988,90.0709219858156,Relatively Moderate,,,Not Applicable,18.90470297029703,25.890585241730278,Very Low,29.271317829457367,33.396946564885496,Relatively Low,64.40839694656488,69.27480916030534,Relatively Low,10.356589147286822,11.259541984732824,Very Low,89.02671756,Very High,8.396946564885496,Very Low
12049,Hardee,County,Florida,12,049,69.17938931297711,Relatively Low,68.2858910891089,Relatively Low,25430643.56274115,89.25553319919517,91.36420525657071,Relatively Moderate,0,0,No Rating,27.50618811881188,26.3676844783715,Very Low,43.87596899224806,42.49363867684479,Relatively Low,83.01526717557252,82.8880407124682,Relatively Low,99.25581395348837,99.30025445292621,Very High,48.02798982,Relatively Moderate,4.3893129770992365,Very Low
12051,Hendry,County,Florida,12,051,78.65776081424937,Relatively Low,64.23267326732673,Relatively Low,22413506.890832096,90.10060362173039,94.24280350438048,Relatively High,26.700680272108844,25.6,Very Low,50.742574257425744,64.34478371501272,Relatively Low,30.63565891472868,37.595419847328245,Relatively Low,90.5852417302799,93.28880407124683,Relatively Moderate,67.50387596899225,82.09287531806616,Relatively Moderate,90.29898219,Very High,0.6679389312977099,Very Low
12053,Hernando,County,Florida,12,053,87.97709923664122,Relatively Moderate,86.20049504950495,Relatively Moderate,60139645.24495363,95.8148893360161,96.07843137254902,Relatively High,76.70068027210884,74.2,Relatively Moderate,83.8180693069307,85.59160305343512,Relatively Moderate,89.7984496124031,91.82569974554707,Relatively High,87.56361323155217,88.00890585241731,Relatively Low,66.07751937984496,68.09796437659033,Relatively Moderate,56.48854962,Relatively Moderate,6.075063613231553,Very Low
12055,Highlands,County,Florida,12,055,89.44020356234097,Relatively Moderate,82.58044554455446,Relatively Low,46656668.652713485,93.31991951710262,95.70296203587819,Relatively High,,,Not Applicable,67.04826732673267,78.4033078880407,Relatively Moderate,73.6124031007752,82.5381679389313,Relatively Moderate,89.91730279898219,92.71628498727735,Relatively Moderate,99.53488372093024,99.80916030534351,Very High,94.11577608,Very High,5.693384223918575,Very Low
12057,Hillsborough,County,Florida,12,057,98.82315521628499,Relatively High,98.97896039603961,Relatively High,494579509.60975146,99.35613682092556,99.29078014184397,Very High,94.04761904761905,92.4,Relatively High,97.86509900990099,97.7735368956743,Relatively High,99.65891472868216,99.6501272264631,Very High,95.92875318066157,95.67430025445293,Relatively Moderate,83.62790697674419,82.12468193384224,Relatively Moderate,36.38676845,Relatively Low,33.23791348600509,Relatively Low
12059,Holmes,County,Florida,12,059,49.42748091603054,Relatively Low,48.70049504950495,Very Low,14201693.431584178,89.33601609657947,91.48936170212765,Relatively Moderate,0,0,No Rating,27.382425742574256,26.463104325699742,Very Low,53.3953488372093,52.989821882951645,Relatively Low,31.234096692111958,32.220101781170484,Very Low,21.333333333333336,19.6882951653944,Relatively Low,50.92239186,Relatively Moderate,13.104325699745548,Very Low
12061,Indian River,County,Florida,12,061,95.64249363867684,Relatively High,94.67821782178217,Relatively Moderate,163113851.4888813,99.03420523138833,99.16562369628703,Very High,71.93877551020408,69,Relatively Moderate,83.72524752475248,85.87786259541986,Relatively Moderate,70.48062015503876,72.45547073791349,Relatively Moderate,87.5,88.19974554707379,Relatively Low,82.69767441860465,86.29134860050891,Relatively High,64.18575064,Relatively High,60.527989821882954,Relatively High
12063,Jackson,County,Florida,12,063,75.69974554707379,Relatively Low,68.06930693069307,Relatively Low,25327887.539968833,91.99195171026156,94.32624113475178,Relatively High,,,Not Applicable,55.07425742574258,60.94147582697202,Relatively Low,54.077519379844965,59.44656488549618,Relatively Low,45.86513994910941,49.80916030534351,Very Low,46.821705426356594,52.767175572519086,Relatively Moderate,78.72137405,Relatively High,26.431297709923662,Relatively Low
12065,Jefferson,County,Florida,12,065,38.99491094147582,Very Low,23.236386138613863,Very Low,7262265.389213354,81.00603621730383,86.7334167709637,Relatively Moderate,39.965986394557824,39.4,Very Low,19.52351485148515,28.085241730279897,Very Low,46.263565891472865,57.25190839694656,Relatively Low,65.45801526717557,71.34223918575063,Relatively Low,14.91472868217054,17.334605597964376,Relatively Low,97.90076336,Very High,32.1882951653944,Relatively Low
12067,Lafayette,County,Florida,12,067,15.903307888040713,Very Low,15.439356435643564,Very Low,5583300.50826363,81.73038229376257,84.39716312056737,Relatively Moderate,25.170068027210885,22,Very Low,15.31559405940594,14.694656488549619,Very Low,21.488372093023255,19.46564885496183,Very Low,59.223918575063614,59.70101781170484,Very Low,6.945736434108526,4.293893129770993,Very Low,50.34987277,Relatively Moderate,11.736641221374047,Very Low
